molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL1867,IC50,,,CHEMBL1909088
CHEMBL941,CHEMBL1942,IC50,,,CHEMBL1909089
CHEMBL941,CHEMBL1916,IC50,,,CHEMBL1909090
CHEMBL941,CHEMBL213,IC50,,,CHEMBL1909091
CHEMBL941,CHEMBL210,IC50,,,CHEMBL1909092
CHEMBL941,CHEMBL246,IC50,,,CHEMBL1909093
CHEMBL941,CHEMBL222,IC50,,,CHEMBL1909094
CHEMBL941,CHEMBL2622,IC50,,,CHEMBL1909095
CHEMBL941,CHEMBL4607,IC50,,,CHEMBL1909096
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909097
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909098
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909099
CHEMBL941,CHEMBL3157,IC50,,,CHEMBL1909100
CHEMBL941,CHEMBL1832,IC50,,,CHEMBL1909101
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909102
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909103
CHEMBL941,CHEMBL612545,IC50,,,CHEMBL1909121
CHEMBL941,CHEMBL218,IC50,,,CHEMBL1909122
CHEMBL941,CHEMBL205,IC50,,,CHEMBL1909123
CHEMBL941,CHEMBL4015,IC50,,,CHEMBL1909124
CHEMBL941,CHEMBL2414,IC50,,,CHEMBL1909125
CHEMBL941,CHEMBL274,IC50,,,CHEMBL1909126
CHEMBL941,CHEMBL4029,IC50,,,CHEMBL1909127
CHEMBL941,CHEMBL2434,IC50,,,CHEMBL1909128
CHEMBL941,CHEMBL1901,IC50,,,CHEMBL1909129
CHEMBL941,CHEMBL221,IC50,,,CHEMBL1909130
CHEMBL941,CHEMBL230,IC50,,,CHEMBL1909131
CHEMBL941,CHEMBL3356,IC50,,,CHEMBL1909132
CHEMBL941,CHEMBL5282,IC50,,,CHEMBL1909133
CHEMBL941,CHEMBL3622,IC50,,,CHEMBL1909134
CHEMBL941,CHEMBL3397,IC50,,,CHEMBL1909135
CHEMBL941,CHEMBL289,IC50,,,CHEMBL1909136
CHEMBL941,CHEMBL5281,IC50,,,CHEMBL1909137
CHEMBL941,CHEMBL340,IC50,,,CHEMBL1909138
CHEMBL941,CHEMBL2056,IC50,,,CHEMBL1909139
